state,park,recreation_visitors,recreation_visitors_percent_change,recreation_visitor_days,recreation_visitor_days_percent_change,non_recreation_visitors,non_recreation_visitors_percent_change,recreation_visitor_hours,recreation_visitor_hours_percent_change,non_recreation_visitor_hours,non_recreation_visitor_hours_percent_change,concessioner_lodging_overnights,concessioner_lodging_overnights_percent_change,concessioner_camping_overnights,concessioner_camping_overnights_percent_change,tent_overnights,tent_overnights_percent_change,recreation_vehicle_overnights,recreation_vehicle_overnights_percent_change,back_country_overnights,back_country_overnights_percent_change,non_recreation_overnights,non_recreation_overnights_percent_change,misc_overnights,misc_overnights_percent_change,total_recreation_visitors,total_recreation_visitors_percent_change,total_recreation_visitor_days,total_recreation_visitor_days_percent_change,total_non_recreation_visitors,total_non_recreation_visitors_percent_change,total_recreation_visitor_hours,total_recreation_visitor_hours_percent_change,total_non_recreation_visitor_hours,total_non_recreation_visitor_hours_percent_change,total_concessioner_lodging_overnights,total_concessioner_lodging_overnights_percent_change,total_concessioner_camping_overnights,total_concessioner_camping_overnights_percent_change,total_tent_overnights,total_tent_overnights_percent_change,total_recreation_vehicle_overnights,total_recreation_vehicle_overnights_percent_change,total_back_country_overnights,total_back_country_overnights_percent_change,total_non_recreation_overnights,total_non_recreation_overnights_percent_change,total_misc_overnights,total_misc_overnights_percent_change,grand_total_recreation_visitors,grand_total_recreation_visitors_percent_change,grand_total_recreation_visitor_days,grand_total_recreation_visitor_days_percent_change,grand_total_non_recreation_visitors,grand_total_non_recreation_visitors_percent_change,grand_total_recreation_visitor_hours,grand_total_recreation_visitor_hours_percent_change,grand_total_non_recreation_visitor_hours,grand_total_non_recreation_visitor_hours_percent_change,grand_total_concessioner_lodging_overnights,grand_total_concessioner_lodging_overnights_percent_change,grand_total_concessioner_camping_overnights,grand_total_concessioner_camping_overnights_percent_change,grand_total_tent_overnights,grand_total_tent_overnights_percent_change,grand_total_recreation_vehicle_overnights,grand_total_recreation_vehicle_overnights_percent_change,grand_total_back_country_overnights,grand_total_back_country_overnights_percent_change,grand_total_non_recreation_overnights,grand_total_non_recreation_overnights_percent_change,grand_total_misc_overnights,grand_total_misc_overnights_percent_change
South Carolina,Congaree NP,"242,049",-3.22%,"81,537",-2.10%,0,,"978,448",-2.10%,0,,0,,0,,"7,915",0.04%,0,,745,21.34%,0,0.61%,"3,955",,Subtotal South Carolina,"1,120,740",-12.55%,"192,242",-7.24%,"686,748",,"2,306,949",-7.24%,"285,126",,0,,0,,"7,915",,0,,770,,0,,"4,179",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
South Carolina,Cowpens NB,"156,287",-30.96%,"12,165",-27.54%,0,,"145,990",-27.54%,0,,0,,0,,0,,0,,0,,0,490.00%,118,,Subtotal South Carolina,"1,120,740",-12.55%,"192,242",-7.24%,"686,748",,"2,306,949",-7.24%,"285,126",,0,,0,,"7,915",,0,,770,,0,,"4,179",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
South Carolina,Fort Sumter and Fort Moultrie NHP,"384,308",-6.66%,"73,877",-6.84%,"502,633",-1.21%,"886,532",-6.84%,"251,315",-1.20%,0,,0,,0,,0,,0,,0,6.00%,106,,Subtotal South Carolina,"1,120,740",-12.55%,"192,242",-7.24%,"686,748",,"2,306,949",-7.24%,"285,126",,0,,0,,"7,915",,0,,770,,0,,"4,179",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
South Carolina,Kings Mountain NMP,"182,463",-16.79%,"8,235",-12.89%,"181,218",-15.65%,"98,826",-12.89%,"30,190",-15.66%,0,,0,,0,,0,,25,,0,,0,,Subtotal South Carolina,"1,120,740",-12.55%,"192,242",-7.24%,"686,748",,"2,306,949",-7.24%,"285,126",,0,,0,,"7,915",,0,,770,,0,,"4,179",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
South Carolina,Ninety Six NHS,"101,352",-14.26%,"10,557",-14.26%,0,,"126,691",-14.26%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal South Carolina,"1,120,740",-12.55%,"192,242",-7.24%,"686,748",,"2,306,949",-7.24%,"285,126",,0,,0,,"7,915",,0,,770,,0,,"4,179",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
South Carolina,Reconstruction Era NHP,"23,378",-1.74%,721,-3.09%,"2,897",0.10%,"8,652",-3.12%,"3,621",0.08%,0,,0,,0,,0,,0,,0,,0,,Subtotal South Carolina,"1,120,740",-12.55%,"192,242",-7.24%,"686,748",,"2,306,949",-7.24%,"285,126",,0,,0,,"7,915",,0,,770,,0,,"4,179",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
South Dakota,Badlands NP,"1,094,245",4.57%,"395,067",7.28%,"55,984",0.00%,"4,740,810",7.28%,"27,992",0.00%,"11,075",2.16%,"22,844",94.68%,"3,156",-3.25%,922,1.32%,"1,441",1.69%,0,,0,,Subtotal South Dakota,"3,850,934",-12.94%,"768,194",-7.84%,"904,180",-19.83%,"9,218,355",-7.84%,"310,030",-19.37%,"11,075",2.16%,"22,844",94.68%,"7,106",-17.93%,"5,972",-19.41%,"1,783",-9.08%,0,,411,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
South Dakota,Jewel Cave NM,"145,332",19.58%,"34,465",17.44%,0,-100.00%,"413,580",17.44%,0,-100.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal South Dakota,"3,850,934",-12.94%,"768,194",-7.84%,"904,180",-19.83%,"9,218,355",-7.84%,"310,030",-19.37%,"11,075",2.16%,"22,844",94.68%,"7,106",-17.93%,"5,972",-19.41%,"1,783",-9.08%,0,,411,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
South Dakota,Minuteman Missile NHS,"118,108",2.02%,"7,366",-0.24%,0,,"88,397",-0.24%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal South Dakota,"3,850,934",-12.94%,"768,194",-7.84%,"904,180",-19.83%,"9,218,355",-7.84%,"310,030",-19.37%,"11,075",2.16%,"22,844",94.68%,"7,106",-17.93%,"5,972",-19.41%,"1,783",-9.08%,0,,411,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
South Dakota,Missouri NRR,"153,521",32.13%,"12,793",32.13%,0,,"153,521",32.13%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal South Dakota,"3,850,934",-12.94%,"768,194",-7.84%,"904,180",-19.83%,"9,218,355",-7.84%,"310,030",-19.37%,"11,075",2.16%,"22,844",94.68%,"7,106",-17.93%,"5,972",-19.41%,"1,783",-9.08%,0,,411,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
South Dakota,Mount Rushmore NMEM,"1,850,329",-23.89%,"203,021",-23.89%,"640,791",-23.25%,"2,436,254",-23.89%,"213,595",-23.25%,0,,0,,0,,0,,0,,0,,0,,Subtotal South Dakota,"3,850,934",-12.94%,"768,194",-7.84%,"904,180",-19.83%,"9,218,355",-7.84%,"310,030",-19.37%,"11,075",2.16%,"22,844",94.68%,"7,106",-17.93%,"5,972",-19.41%,"1,783",-9.08%,0,,411,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
South Dakota,Wind Cave NP,"489,399",-17.40%,"115,482",-24.11%,"207,405",-12.45%,"1,385,793",-24.11%,"68,443",-12.45%,0,,0,,"3,950",-26.80%,"5,050",-22.31%,342,-37.13%,0,-59.59%,411,,Subtotal South Dakota,"3,850,934",-12.94%,"768,194",-7.84%,"904,180",-19.83%,"9,218,355",-7.84%,"310,030",-19.37%,"11,075",2.16%,"22,844",94.68%,"7,106",-17.93%,"5,972",-19.41%,"1,783",-9.08%,0,,411,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Tennessee,Andrew Johnson NHS,"55,270",-9.52%,"2,192",-6.28%,0,,"26,307",-6.28%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Tennessee,"12,571,303",19.21%,"3,924,534",-27.60%,"12,668,925",,"47,094,456",-27.60%,"6,686,734",,"12,066",,0,,"164,661",,"144,310",,"45,800",,0,,"23,957",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Tennessee,Big South Fork NRRA,"459,965",1.78%,"272,171",-0.17%,0,,"3,266,057",-0.17%,0,,"1,409",2.55%,0,,"10,967",-3.44%,"23,300",-12.21%,"5,313",-0.52%,0,8.21%,"3,439",,Subtotal Tennessee,"12,571,303",19.21%,"3,924,534",-27.60%,"12,668,925",,"47,094,456",-27.60%,"6,686,734",,"12,066",,0,,"164,661",,"144,310",,"45,800",,0,,"23,957",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Tennessee,Chickamauga & Chattanooga NMP,"501,540",-1.83%,"78,733",-1.25%,0,,"944,800",-1.25%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Tennessee,"12,571,303",19.21%,"3,924,534",-27.60%,"12,668,925",,"47,094,456",-27.60%,"6,686,734",,"12,066",,0,,"164,661",,"144,310",,"45,800",,0,,"23,957",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Tennessee,Fort Donelson NB,"166,026",-7.74%,"9,214",-7.78%,"434,049",-0.40%,"110,573",-7.78%,"14,323",-0.40%,0,,0,,0,,0,,0,,0,-100.00%,0,,Subtotal Tennessee,"12,571,303",19.21%,"3,924,534",-27.60%,"12,668,925",,"47,094,456",-27.60%,"6,686,734",,"12,066",,0,,"164,661",,"144,310",,"45,800",,0,,"23,957",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Tennessee,Great Smoky Mountains NP,"9,307,519",24.99%,"3,045,896",-33.46%,"10,832,000",0.00%,"36,550,759",-33.46%,"5,416,000",0.00%,"10,657",2.74%,0,,"143,788",3.47%,"112,949",4.51%,"39,770",-15.99%,0,7.23%,"20,517",,Subtotal Tennessee,"12,571,303",19.21%,"3,924,534",-27.60%,"12,668,925",,"47,094,456",-27.60%,"6,686,734",,"12,066",,0,,"164,661",,"144,310",,"45,800",,0,,"23,957",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Tennessee,Manhattan Project NHP,"29,511",28.28%,"2,200",14.46%,0,,"26,404",14.43%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Tennessee,"12,571,303",19.21%,"3,924,534",-27.60%,"12,668,925",,"47,094,456",-27.60%,"6,686,734",,"12,066",,0,,"164,661",,"144,310",,"45,800",,0,,"23,957",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Tennessee,Natchez Trace PKWY,"957,428",8.55%,"321,889",8.52%,"1,221,431",0.00%,"3,862,674",8.52%,"1,221,431",0.00%,0,,0,,"5,877",0.98%,"8,061",15.97%,0,,0,,1,,Subtotal Tennessee,"12,571,303",19.21%,"3,924,534",-27.60%,"12,668,925",,"47,094,456",-27.60%,"6,686,734",,"12,066",,0,,"164,661",,"144,310",,"45,800",,0,,"23,957",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Tennessee,Obed W&SR,"261,732",-6.17%,"94,758",-5.76%,"10,800",0.00%,"1,137,102",-5.76%,900,0.00%,0,,0,,"4,029",-8.47%,0,,717,88.68%,0,,0,,Subtotal Tennessee,"12,571,303",19.21%,"3,924,534",-27.60%,"12,668,925",,"47,094,456",-27.60%,"6,686,734",,"12,066",,0,,"164,661",,"144,310",,"45,800",,0,,"23,957",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Tennessee,Shiloh NMP,"386,152",3.88%,"44,592",5.25%,"169,205",-5.01%,"535,109",5.25%,"33,840",-5.01%,0,,0,,0,,0,,0,,0,,0,,Subtotal Tennessee,"12,571,303",19.21%,"3,924,534",-27.60%,"12,668,925",,"47,094,456",-27.60%,"6,686,734",,"12,066",,0,,"164,661",,"144,310",,"45,800",,0,,"23,957",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Tennessee,Stones River NB,"446,160",31.47%,"52,889",41.71%,"1,440",-1.44%,"634,671",41.71%,240,-8.05%,0,,0,,0,,0,,0,,0,,0,,Subtotal Tennessee,"12,571,303",19.21%,"3,924,534",-27.60%,"12,668,925",,"47,094,456",-27.60%,"6,686,734",,"12,066",,0,,"164,661",,"144,310",,"45,800",,0,,"23,957",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Texas,Alibates Flint Quarries NM,"8,558",42.49%,"1,783",42.53%,0,,"21,396",42.50%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Texas,"5,366,208",0.50%,"2,692,206",18.07%,"117,104",,"32,306,560",18.07%,"412,674",,"22,479",,"3,661",,"104,116",,"117,684",,"67,072",,0,,"34,080",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Texas,Amistad NRA,"832,294",-0.53%,"514,234",-0.23%,0,-100.00%,"6,170,815",-0.23%,0,-100.00%,0,,0,,0,,"7,241",24.50%,0,,0,11.38%,685,-100.00%,Subtotal Texas,"5,366,208",0.50%,"2,692,206",18.07%,"117,104",,"32,306,560",18.07%,"412,674",,"22,479",,"3,661",,"104,116",,"117,684",,"67,072",,0,,"34,080",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Texas,Big Bend NP,"561,458",10.28%,"945,102",18.31%,"2,700",0.00%,"11,341,233",18.31%,"8,100",0.00%,"22,479",0.60%,"3,661",-0.92%,"69,606",194.35%,"27,860",2.52%,"48,597",-17.52%,0,116.33%,"19,619",,Subtotal Texas,"5,366,208",0.50%,"2,692,206",18.07%,"117,104",,"32,306,560",18.07%,"412,674",,"22,479",,"3,661",,"104,116",,"117,684",,"67,072",,0,,"34,080",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Texas,Big Thicket NPRES,"271,823",3.44%,"65,152",1.59%,0,,"781,830",1.59%,0,,0,,0,,0,,0,,966,-24.53%,0,,0,,Subtotal Texas,"5,366,208",0.50%,"2,692,206",18.07%,"117,104",,"32,306,560",18.07%,"412,674",,"22,479",,"3,661",,"104,116",,"117,684",,"67,072",,0,,"34,080",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Texas,Chamizal NMEM,"6,627",-20.39%,567,-18.18%,"110,915",4.59%,"6,809",-18.20%,"388,200",4.59%,0,,0,,0,,0,,0,,0,,0,,Subtotal Texas,"5,366,208",0.50%,"2,692,206",18.07%,"117,104",,"32,306,560",18.07%,"412,674",,"22,479",,"3,661",,"104,116",,"117,684",,"67,072",,0,,"34,080",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Texas,Fort Davis NHS,"42,553",5.88%,"7,091",5.88%,193,-11.87%,"85,102",5.88%,478,58.28%,0,,0,,0,,0,,0,,0,,0,,Subtotal Texas,"5,366,208",0.50%,"2,692,206",18.07%,"117,104",,"32,306,560",18.07%,"412,674",,"22,479",,"3,661",,"104,116",,"117,684",,"67,072",,0,,"34,080",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Texas,Guadalupe Mountains NP,"226,134",-0.53%,"52,143",-3.02%,"1,440",0.00%,"625,727",-3.02%,"1,440",0.00%,0,,0,,"16,501",-1.37%,"8,432",-4.60%,"2,671",6.50%,0,7.71%,"5,167",,Subtotal Texas,"5,366,208",0.50%,"2,692,206",18.07%,"117,104",,"32,306,560",18.07%,"412,674",,"22,479",,"3,661",,"104,116",,"117,684",,"67,072",,0,,"34,080",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Texas,Lake Meredith NRA,"1,212,905",-9.33%,"607,002",86.96%,0,,"7,284,030",86.96%,0,,0,,0,,"10,819",-4.12%,"49,097",-1.37%,0,,0,12.90%,"8,142",,Subtotal Texas,"5,366,208",0.50%,"2,692,206",18.07%,"117,104",,"32,306,560",18.07%,"412,674",,"22,479",,"3,661",,"104,116",,"117,684",,"67,072",,0,,"34,080",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Texas,Lyndon B. Johnson NHP,"119,278",0.39%,"29,693",-3.53%,0,,"356,327",-3.53%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Texas,"5,366,208",0.50%,"2,692,206",18.07%,"117,104",,"32,306,560",18.07%,"412,674",,"22,479",,"3,661",,"104,116",,"117,684",,"67,072",,0,,"34,080",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Texas,Padre Island NS,"514,722",-6.87%,"283,963",-11.08%,"1,800",0.00%,"3,407,559",-11.08%,"14,400",0.00%,0,,0,,"7,190",-47.11%,"25,054",-20.92%,"13,617",-0.02%,0,-3.71%,467,,Subtotal Texas,"5,366,208",0.50%,"2,692,206",18.07%,"117,104",,"32,306,560",18.07%,"412,674",,"22,479",,"3,661",,"104,116",,"117,684",,"67,072",,0,,"34,080",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Texas,Palo Alto Battlefield NHP,"178,946",11.53%,"19,527",11.11%,0,,"234,333",11.11%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Texas,"5,366,208",0.50%,"2,692,206",18.07%,"117,104",,"32,306,560",18.07%,"412,674",,"22,479",,"3,661",,"104,116",,"117,684",,"67,072",,0,,"34,080",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Texas,Rio Grande W&SR,172,-42.67%,"2,184",-47.73%,0,,"26,208",-47.73%,0,,0,,0,,0,,0,,"1,221",-47.23%,0,,0,,Subtotal Texas,"5,366,208",0.50%,"2,692,206",18.07%,"117,104",,"32,306,560",18.07%,"412,674",,"22,479",,"3,661",,"104,116",,"117,684",,"67,072",,0,,"34,080",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Texas,San Antonio Missions NHP,"1,278,777",8.29%,"151,844",14.48%,0,,"1,822,131",14.48%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Texas,"5,366,208",0.50%,"2,692,206",18.07%,"117,104",,"32,306,560",18.07%,"412,674",,"22,479",,"3,661",,"104,116",,"117,684",,"67,072",,0,,"34,080",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Texas,Waco Mammoth NM,"111,961",14.10%,"11,921",17.39%,56,-80.00%,"143,060",17.39%,56,-80.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Texas,"5,366,208",0.50%,"2,692,206",18.07%,"117,104",,"32,306,560",18.07%,"412,674",,"22,479",,"3,661",,"104,116",,"117,684",,"67,072",,0,,"34,080",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Utah,Arches NP,"1,466,528",-1.05%,"815,192",79.07%,"7,459",,"9,782,311",79.07%,"25,856",,0,,0,,"14,588",-2.00%,"25,619",30.70%,140,-20.00%,0,11.70%,"8,610",,Subtotal Utah,"15,821,579",0.91%,"7,473,726",-5.18%,"581,709",,"89,684,780",-5.18%,"325,837",,"161,922",,"3,632",,"215,023",7.28%,"241,114",14.03%,"94,325",-4.67%,0,-51.57%,"63,333",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Utah,Bryce Canyon NP,"2,498,075",1.50%,"1,116,352",1.40%,"408,146",-0.06%,"13,396,234",1.40%,"122,443",-0.06%,"49,773",1.31%,0,,"45,003",0.24%,"48,168",8.09%,"2,128",-20.21%,0,7.64%,"1,338",,Subtotal Utah,"15,821,579",0.91%,"7,473,726",-5.18%,"581,709",,"89,684,780",-5.18%,"325,837",,"161,922",,"3,632",,"215,023",7.28%,"241,114",14.03%,"94,325",-4.67%,0,-51.57%,"63,333",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Utah,Canyonlands NP,"818,492",2.27%,"433,003",1.95%,0,,"5,196,036",1.95%,0,,0,,0,,"8,509",4.58%,"10,209",16.14%,"67,957",-1.44%,0,11.04%,"1,911",,Subtotal Utah,"15,821,579",0.91%,"7,473,726",-5.18%,"581,709",,"89,684,780",-5.18%,"325,837",,"161,922",,"3,632",,"215,023",7.28%,"241,114",14.03%,"94,325",-4.67%,0,-51.57%,"63,333",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Utah,Capitol Reef NP,"1,422,490",12.11%,"129,047",-19.72%,"99,342",13.04%,"1,548,574",-19.72%,"99,342",13.04%,0,,0,,"25,833",56.24%,"29,888",-5.44%,"2,298",-26.23%,0,-3.35%,"3,142",,Subtotal Utah,"15,821,579",0.91%,"7,473,726",-5.18%,"581,709",,"89,684,780",-5.18%,"325,837",,"161,922",,"3,632",,"215,023",7.28%,"241,114",14.03%,"94,325",-4.67%,0,-51.57%,"63,333",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Utah,Cedar Breaks NM,"722,834",17.67%,"132,041",21.41%,"8,991",10.31%,"1,584,499",21.41%,"17,982",10.30%,0,,0,,"2,240",-3.24%,"5,473",182.55%,0,,0,,0,,Subtotal Utah,"15,821,579",0.91%,"7,473,726",-5.18%,"581,709",,"89,684,780",-5.18%,"325,837",,"161,922",,"3,632",,"215,023",7.28%,"241,114",14.03%,"94,325",-4.67%,0,-51.57%,"63,333",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
